year,sex,number_of_cm,name,age,group
2011,m,13,櫻井　翔,29,
2011,m,12,松本　潤,27,
2011,m,12,向井　理,29,
2011,m,11,二宮　和也,27,
2011,m,10,相葉　雅紀,28,
2011,m,10,大野　智,30,
2011,m,9,木村　拓哉,38,
2011,m,9,佐藤　健,22,
2011,m,9,マツコ・デラックス,38,
2011,m,8,イチロー,37,
2011,m,8,香取　慎吾,34,
2011,m,8,草_　剛,36,
2011,m,8,長瀬　智也,32,
2011,m,8,長友　佑都,24,
2011,m,8,玉木　宏,31,
2011,m,8,三浦　春馬,20,
2011,m,7,稲垣　吾郎,37,
2011,m,7,岡田　将生,21,
2011,m,7,加藤　清史郎,9,
2011,m,7,国分　太一,36,
2011,m,7,城島　茂,40,
2011,m,7,鈴木　福,6,
2011,m,7,ＴＡＫＡＨＩＲＯ,26,
2011,m,7,山口　達也,39,
2011,f,19,大島　優子,22,
2011,f,17,篠田　麻里子,25,
2011,f,17,前田　敦子,19,
2011,f,16,板野　友美,19,
2011,f,15,芦田　愛菜,6,
2011,f,15,高橋　みなみ,19,
2011,f,14,上戸　彩,25,
2011,f,14,小嶋　陽菜,22,
2011,f,14,ベッキー,27,
2011,f,12,柏木　由紀,19,
2011,f,12,渡辺　麻友,17,
2011,f,11,指原　莉乃,18,
2011,f,10,相武　紗季,25,
2011,f,10,佐々木　希,23,
2011,f,9,天海　祐希,43,
2011,f,9,吉瀬　美智子,36,
2011,f,9,武井　咲,17,
2011,f,9,峯岸　みなみ,18,
2011,f,9,宮澤　佐江,20,
2011,f,9,横山　由依,18,
2012,m,15,石川　遼,20,
2012,m,12,櫻井　翔,30,
2012,m,12,鈴木　福,7,
2012,m,11,木村　拓哉,39,
2012,m,10,相葉　雅紀,29,
2012,m,10,中居　正広,39,
2012,m,10,二宮　和也,28,
2012,m,10,松本　潤,28,
2012,m,10,向井　理,30,
2012,m,9,大野　智,31,
2012,m,9,香取　慎吾,35,
2012,m,9,松岡　修造,44,
2012,m,8,草_　剛,37,
2012,m,8,国分　太一,37,
2012,m,8,ダンディ坂野,45,
2012,m,8,チャン・グンソク,24,
2012,m,8,長瀬　智也,33,
2012,m,8,三浦　春馬,21,
2012,f,20,板野　友美,20,
2012,f,20,篠田　麻里子,26,
2012,f,18,高橋　みなみ,20,
2012,f,17,前田　敦子,20,
2012,f,16,小嶋　陽菜,23,
2012,f,16,指原　莉乃,19,
2012,f,15,芦田　愛菜,7,
2012,f,15,上戸　彩,26,
2012,f,15,大島　優子,23,
2012,f,15,柏木　由紀,20,
2012,f,14,武井　咲,18,
2012,f,14,渡辺　麻友,18,
2012,f,13,横山　由依,19,
2012,f,12,ベッキー,28,
2012,f,12,本田　望結,7,
2012,f,12,ローラ,22,
2012,f,11,剛力　彩芽,19,
2012,f,11,澤　穂希,33,
2013,m,12,石川遼,,
2013,m,11,向井理,,
2013,m,10,木村拓哉,,ＳＭＡＰ）
2013,m,10,櫻井翔,,嵐）
2013,m,9,鈴木福,,
2013,m,8,相葉雅紀,,嵐）
2013,m,8,大野智,,嵐）
2013,m,8,香取慎吾,,ＳＭＡＰ）
2013,m,8,武井壮,,
2013,m,8,錦戸亮,,関ジャニ∞）
2013,m,8,二宮和也,,嵐）
2013,m,8,松岡修造,,
2013,m,8,松坂桃李,,
2013,m,8,村上信五,,関ジャニ∞）
2013,m,7,阿部寛,,
2013,m,7,イチロー,,
2013,m,7,国分太一,,ＴＯＫＩＯ）
2013,m,7,中居正広,,ＳＭＡＰ）
2013,m,7,長瀬智也,,ＴＯＫＩＯ）
2013,m,7,西島秀俊,,
2013,m,7,松本潤,,嵐）
2013,m,7,横山裕,,関ジャニ∞）
2013,f,17,武井咲,,
2013,f,15,篠田麻里子,,
2013,f,14,ローラ,,
2013,f,12,きゃりーぱみゅぱみゅ,,
2013,f,12,剛力彩芽,,
2013,f,11,有村架純,,
2013,f,11,上戸彩,,
2013,f,11,島崎遥香,,
2013,f,11,谷花音,,
2013,f,11,ベッキー,,
2013,f,10,板野友美,,
2013,f,10,柏木由紀,,
2013,f,10,桐谷美玲,,
2013,f,10,小嶋陽菜,,
2013,f,10,堀北真希,,
2013,f,9,天海祐希,,
2013,f,9,石原さとみ,,
2013,f,9,大島優子,,
2013,f,9,本田翼,,
2013,f,9,前田敦子,,
2014,m,11,櫻井翔,,
2014,m,11,松岡修造,,
2014,m,10,相葉雅紀,,
2014,m,10,阿部寛,,
2014,m,10,本田圭佑,,
2014,m,9,大野智,,
2014,m,9,岡田准一,,
2014,m,9,木村拓哉,,
2014,m,9,西島秀俊,,
2014,m,9,二宮和也,,
2014,m,9,向井理,,
2014,m,8,石川遼,,
2014,m,8,香川真司,,
2014,m,8,錦戸亮,,
2014,m,8,松本潤,,
2014,m,8,村上信五,,
2014,m,8,横山裕,,
2014,f,14,ローラ,,
2014,f,13,有村架純,,
2014,f,12,上戸彩,,
